full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,diameter
123535 (2000 XF16),2.698882287237546,0.1106745193599588,12.746754899669769,357.0997762859988,136.80547198628798,2.4001847872884237,2.9975797871866665,4.4338818560212,7147.0,0,740,,,15.0,2.859
       (2010 JU4),2.7340367361372078,0.2732956938036715,13.370183538703088,278.174746149787,316.881693876653,1.986836269449864,3.4812372028245515,4.5207940305269405,3829.0,1,48,,,17.3,1.906
421775 (2014 QG18),3.187539925725447,0.0504693464906005,12.94417594702913,339.6192133014041,195.57634239899917,3.0266668687613865,3.348412982689507,5.69104018414866,7417.0,0,174,,,15.6,4.815
 46418 (2002 JS12),2.242876997385049,0.2075645884203674,7.392189588599975,87.74472318817914,195.3148794279919,1.7773351565453117,2.708418838224786,3.3590493748925097,8188.0,0,1254,,,15.1,3.133
114327 (2002 XB63),2.234899053669059,0.2407840061415389,5.9924343357603975,238.99587463617402,114.621813635476,1.6967711062046889,2.77302700113343,3.34114304593273,6905.0,0,798,,,16.2,3.516
121776 (2000 AH30),3.087438172667587,0.1588382423895982,12.71590486658741,298.54551657967585,287.26959776653354,2.597034919834514,3.5778414255006585,5.425073249079291,7356.0,0,963,,,14.0,9.212
 68273 (2001 EQ26),3.1547570268216467,0.238625281633941,23.665872662010692,340.87590428076186,1.201502085908836,2.4019522428096756,3.907561810833616,5.603470331170519,8010.0,0,793,,,13.2,8.121
142810 (2002 UB36),2.602345399549085,0.1527171936889316,15.77711869689936,79.66274588202423,285.16756179844083,2.204922513120647,2.999768285977522,4.1981273597515605,6348.0,0,476,,,15.3,2.188
 42701 (1998 MD13),2.53436235196102,0.2135059507371262,8.781466231685602,165.844440496369,56.91453285307945,1.9932609084932031,3.075463795428837,4.03470015519778,8078.0,0,1959,,,13.2,5.949
       (2010 MU77),2.8139917469749127,0.09604488209421816,6.563607235089062,46.041177529532526,236.406219327373,2.543722241422605,3.0842612525272215,4.7205481445500705,3292.0,0,42,,,17.0,2.94
 15335 Satoyukie (1993 UV),2.6748781606647207,0.24062957708578897,13.60063248052216,217.6073033577126,192.7009807564698,2.031223360107956,3.318532961221487,4.37486050291489,9599.0,0,1338,,,14.2,3.6039999999999996
  7436 Kuroiwa (1994 CB2),2.2297459102409283,0.0964519047015064,2.204888113276922,256.41582601673883,289.1021937090189,2.014682670197796,2.44480915028406,3.3295938929494304,15824.0,0,1827,,,13.9,4.571000000000001
 28454 (2000 AF137),2.582302086386055,0.1947818104170585,15.64058754754622,146.9465221389253,19.75381630511227,2.079316610956031,3.0852875618160778,4.14971978533866,11555.0,0,1467,,,13.9,8.854
252192 (2001 FJ1),2.328580554304248,0.3663650741539923,20.60331716366946,186.39127934105832,264.0414005736251,1.475469966853028,3.181691141755468,3.55340821353114,6738.0,0,588,,,15.9,1.3430000000000002
203209 (2001 DG100),2.6637997447539963,0.2596552864709586,6.466746819142202,250.05946866320062,312.5814178903408,1.972130058928631,3.3554694305793613,4.34770993545443,6733.0,0,354,,,15.8,2.633
       (2010 OA115),2.8682701838179434,0.1212804299726095,15.737061317854149,184.74047810290767,26.62065141335638,2.5204051426468865,3.216135224988999,4.857785003320821,1.0,9,9,,,,2.193
248302 (2005 LZ37),2.6613271933229883,0.1270766615388161,11.90389550451612,221.88997106233998,86.57239843811331,2.323134618333035,2.999519768312941,4.34165799319285,5342.0,0,266,,,16.3,1.768
136500 (2005 JY44),3.156345082016816,0.2358878915310579,12.763576329800461,185.35615903396098,154.3931710204642,2.4118014956754448,3.900888668358186,5.60770191217212,7562.0,0,575,,,15.0,6.421
  3321 Dasha (1975 TZ2),2.54635424995144,0.19802774341368,7.321815264390249,162.5149312777131,202.3676798620295,2.042105463901723,3.0506030360011582,4.06337062263789,24138.0,0,1776,,,12.7,7.957999999999999
 45245 (1999 XN242),2.809898774563285,0.030114394931354763,16.17301994220436,222.600593400514,171.76429502967667,2.7252803731489568,2.8945171759776134,4.710252780689441,7935.0,0,1307,,,14.1,4.821000000000001
 16348 (3465 T-3),3.049432382167563,0.1409958665083932,11.00367620119792,22.38838491634232,292.1369726172692,2.619475021085094,3.4793897432500316,5.325209694390759,15431.0,0,1114,,,13.7,6.081
438815 (2008 YX148),2.7822607591015918,0.1711341502977363,9.446000743584644,87.89122341755021,12.803813435872721,2.306120928186006,3.258400590017178,4.64092925324008,3821.0,0,178,,,16.5,3.096
166877 (2002 XG61),3.1083440618884395,0.07655013100664879,10.52053533718595,68.42706204932489,30.173539772637547,2.870399916737142,3.346288207039739,5.48026840630028,6827.0,0,627,,,14.6,4.399
292993 (2006 WS6),3.153225993247926,0.1235167791700921,18.11709689992349,78.95934236114809,192.72679125768002,2.763749674566528,3.5427023119293253,5.59939169999415,6260.0,0,265,,,15.3,6.357
222825 (2002 DL8),2.638568381333775,0.2590129696074316,12.973844104449629,71.17667239162164,339.85690265321233,1.95514494937224,3.3219918132953103,4.28608454119264,6684.0,0,346,,,16.1,3.431
117272 (2004 TJ109),2.678742394751457,0.1190832659560713,13.271138671675141,68.59374951090193,346.0936222867685,2.359749001729467,2.9977357877734483,4.38434406899362,15125.0,0,472,,,15.5,4.828
251400 (2007 XM57),2.313199247766639,0.1445354908440754,3.0007515795790787,149.8789830254491,273.5941569885651,1.978859859070542,2.6475386364627367,3.5182586643366496,5674.0,0,218,,,17.2,1.985
204237 (2004 DR33),3.0647517343328143,0.09920020099652567,2.9277820052356027,58.825903487567594,106.0693974353714,2.7607277462825484,3.3687757223830785,5.36538822094887,6784.0,0,455,,,15.6,4.599
       (2016 PU81),3.175932310799593,0.0906606722498544,17.9451557167711,100.38482489797221,116.7364741557338,2.8880001524824683,3.463864469116718,5.65998211358257,6268.0,0,147,,,15.8,4.98
472660 (2015 DM221),3.1836204357404716,0.0667741301713822,16.25652956092978,168.0357687334773,294.5004999122728,2.971036950348065,3.3962039211328783,5.68054661366617,6702.0,0,164,,,15.8,4.977
 32367 (2000 QL144),2.8869049053978477,0.08855992942432306,5.05264660479034,120.30360652902809,122.8785787762027,2.631240810721083,3.1425690000746136,4.9052022630766,10050.0,0,968,,,14.3,5.997999999999999
       (2010 KZ50),2.134819434132076,0.09726661711375377,27.459521365205607,333.8043722788432,161.1898598875632,1.927172769625351,2.3424660986388006,3.1192481331022597,1.0,9,7,,,,2.023
225945 (2002 BE21),2.6281923930300506,0.235532245746474,31.37519899697184,6.5544197243963715,116.613034818708,2.009168336445883,3.2472164496142186,4.26082731445592,7702.0,0,437,,,16.1,1.499
186377 (2002 GD164),3.131147330238942,0.058089231779910676,10.6267415899776,197.8951817628114,258.5463223286048,2.9492613872356435,3.313033273242241,5.540684955319611,7102.0,0,310,,,15.5,3.573
142636 (2002 TS181),2.6546674132601815,0.1161122547531442,3.9427389810111366,7.6700730022173165,340.4276838924935,2.3464279942868456,2.9629068322335184,4.32537116227057,7276.0,0,598,,,15.8,2.6289999999999996
 12454 (1996 YO1),2.420330105771602,0.1215076357679614,1.544597239187119,273.1776948877431,301.7321147441194,2.126241516841275,2.7144186947019304,3.7654779310902704,13969.0,0,1794,,,14.8,6.415
250933 (2005 WD184),3.0495809624661367,0.1134318468084228,9.366303095070217,222.4553841298097,222.80937160341048,2.703661361901796,3.395500563030478,5.32559889676597,5383.0,0,258,,,15.6,3.178
 27330 Markporter (2000 CY52),2.6293810092812797,0.1409593739666782,3.739587349376546,191.0227703829203,60.4280717053531,2.2587451082931183,3.0000169102694416,4.26371811946594,10131.0,0,1204,,,14.8,2.7560000000000002
139857 (2001 RP61),3.006218102373821,0.04869502505457012,8.844086843250533,358.8451867595,174.0248172450221,2.859830236559225,3.152605968188416,5.2124143377120795,7753.0,0,513,,,15.0,3.342
 23262 Thiagoolson (2000 YW44),2.409797754970058,0.04372132668394624,6.10191164643666,106.815882286306,290.40338097360365,2.304438200082771,2.5151573098573445,3.7409258105936303,9571.0,0,1500,,,15.0,2.975
119781 (2002 AF49),3.038436425231932,0.17128581636360998,3.5947279871029467,262.756537266106,319.8790852573121,2.5179953616671518,3.5588774887967123,5.29643239220942,6798.0,0,588,,,15.1,4.927
277711 (2006 DA27),2.776011668019024,0.0794472677136253,4.813275562444224,157.0631113109862,242.50865220311783,2.555465125853769,2.996558210184279,4.62530241164643,7500.0,0,250,,,16.2,3.716
       (2010 KU41),2.18430686178858,0.1589553788947519,15.85207709275196,172.30587104675442,322.870800877381,1.83709953695057,2.5315141866265907,3.22833561564034,1.0,9,14,,,,2.276
 40567 (1999 RB126),2.646098900361397,0.1129976390511552,15.387304062078021,170.9923323237109,311.857348315424,2.347095971924701,2.945101828798093,4.30444646418957,8047.0,0,1367,,,14.3,4.119
130148 (1999 XT202),2.7222306953794493,0.1797683003517504,29.21347461486486,292.1242432594985,262.74737189816256,2.232859910105722,3.2116014806531763,4.49154331587408,7540.0,0,533,,,14.5,7.986000000000001
 36660 (2000 QF206),3.1659479213428714,0.1922948871849163,1.110855207005956,177.04245943872192,142.952259373741,2.557152322974924,3.7747435197108192,5.63331260891313,9369.0,0,585,,,15.0,6.393
